tract2,FIPS,county,sqmi,pop15den,pop90,pop00,pop15,nhw90,nhw00,nhw15,blk90,blk00,blk15,asian90,asian00,asian15,hisp90,hisp00,hisp15,lths90,lths00,lths15,col90,col00,col15,jobs15,povt90,povt00,povt15,inc15,inc90,inc00,rent90,rent00,rent15,burd90,burd00,burd15,mgr90,mgr00,mgr15,hcv00,hcv15,chg_mgr15,chg_nhw00,chg_nhw15,chg_lths00,chg_lths15,chg_col00,chg_col15,chg_inc00,chg_inc15,chg_burd00,chg_burd15,chg_mgr00,chg_hcv15,race90,race00,race15,disadv00,disadv15,gent00,gent15,disadv,gent,job15den
6037212702,06037212702,37,0.3400093,11046.75666,3517.030191,3785,3756,0.27309103,0.167621986,0.215654952,0.12204068,0.104105345,0.048455804,0.370456819,0.481797057,0.603567625,0.248582864,0.230364047,0.085463259,0.223598131,0.20340811,0.043089161,0.312149533,0.386108714,0.56612529,1780,0.097380217,0.161290329,0.093690249,68894,79567.21184,68366.44224,0.571564431,0.569285124,0.521560575,0.350249584,0.434108527,0.585301837,1131.342092,985.4197628,1704,0.007943513,0.002053388,718.5802372,-0.105469044,0.048032966,-0.02019002,-0.160318949,0.073959182,0.180016576,-11200.7696,527.5577645,0.083858943,0.15119331,-145.9223291,-0.005890125,05. No Majority,05. No Majority,04. Majority Asian,0,0,0,0,,,5235.150921
6037212800,06037212800,37,0.3016516,13601.78431,4636.999996,4914,4103,0.054776795,0.047822548,0.156714599,0.17511322,0.136752137,0.139166464,0.273237007,0.226902727,0.157202047,0.52469269,0.573056573,0.504508896,0.406874781,0.409883721,0.230520646,0.206594177,0.17248062,0.352603232,480,0.211596712,0.190262783,0.23933707,49063,47405.78681,47676.50593,0.61297376,0.633193863,0.663704716,0.458977408,0.462555066,0.559217302,957.1541182,894.5849802,1148,0.034867503,0.021189337,253.4150198,-0.006954248,0.108892051,0.00300894,-0.179363075,-0.034113557,0.180122611,270.7191121,1386.494074,0.003577658,0.096662236,-62.569138,-0.013678167,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",1591.239695
6037212900,06037212900,37,0.1442555,34009.10191,4456.000002,4407,4906,0.054982047,0.038348083,0.052792499,0.250448833,0.176537327,0.107215654,0.208258528,0.181075562,0.190175296,0.526929982,0.586113002,0.642070934,0.471732085,0.421279655,0.399174528,0.092185812,0.139468009,0.211379717,260,0.286842699,0.322173813,0.282307379,34408,33817.49419,32147.66817,0.899861879,0.909272849,0.895207668,0.485801995,0.432134996,0.646680942,814.6366852,759.7090909,972,0.026684456,0.038977636,212.2909091,-0.016633964,0.014444416,-0.05045243,-0.022105127,0.047282197,0.071911708,-1669.826021,2260.331835,-0.053666999,0.214545946,-54.92759429,0.012293179,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,1802.357622
6037213100,06037213100,37,0.2073539,13995.39628,2728.999997,2643,2902,0.082447783,0.060915626,0.088215024,0.22425797,0.132425274,0.082701585,0.370831807,0.391222096,0.472088215,0.326859656,0.393492244,0.366299104,0.307334109,0.346478873,0.214501511,0.210710128,0.24056338,0.361530715,643,0.204772902,0.287347561,0.256939502,41625,49233.55988,43653.7785,0.653164556,0.680981595,0.715811966,0.486434109,0.423423423,0.601492537,913.1672562,812.0079051,1087,0.023312883,0.008547009,274.9920949,-0.021532157,0.027299398,0.039144764,-0.131977363,0.029853252,0.120967335,-5579.781374,-2028.778504,-0.063010685,0.178069114,-101.1593511,-0.014765875,05. No Majority,05. No Majority,05. No Majority,1,1,0,0,Disadvantaged Both Decades,Gentrified 2000-2015 Only,3100.978569
6037213201,06037213201,37,0.1293218,35214.48047,4225.000039,3855,4554,0.035502959,0.02230869,0.029205094,0.064615385,0.036835279,0.015810277,0.403550296,0.382101167,0.418752745,0.517633131,0.551750973,0.504830918,0.485182371,0.477083333,0.341269841,0.090805471,0.16375,0.275462963,1223,0.271401241,0.262477373,0.274703557,30463,34818.1541,30690.55006,0.921381346,0.904797601,0.917278185,0.591706539,0.544324772,0.662545455,837.5098535,750.0750988,1000,0.008995502,0.013342228,249.9249012,-0.013194269,0.006896404,-0.008099037,-0.135813492,0.072944529,0.111712963,-4127.604036,-227.5500613,-0.047381767,0.118220682,-87.43475465,0.004346726,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,9457.0289
6037213202,06037213202,37,0.1304732,30557.99965,3879.000004,4125,3987,0.019850477,0.02230303,0.024078254,0.077597319,0.065212121,0.023827439,0.274813096,0.193939394,0.312766491,0.684196957,0.710060606,0.625532982,0.54925776,0.537787056,0.386109037,0.049032839,0.110647182,0.159447349,333,0.241397154,0.301595092,0.333333333,32143,40761.18561,30509.83327,0.843470484,0.839676113,0.837672282,0.417815483,0.510125362,0.65630713,807.5987873,744.5699605,978,0.012145749,0.016079632,233.4300395,0.002452553,0.001775224,-0.011470703,-0.15167802,0.061614343,0.048800167,-10251.35235,1633.166735,0.092309879,0.146181768,-63.02882679,0.003933883,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",2552.248278
6037213310,06037213310,37,0.1204982,31759.81052,3244.809021,3550,3827,0.04081323,0.016901408,0.004964724,0.027613412,0.027042254,0.007055135,0.357760583,0.222253521,0.194146851,0.65103933,0.723943662,0.788868565,0.565031447,0.520579981,0.490066225,0.09081761,0.072497661,0.118426178,344,0.317647065,0.425453515,0.239874575,36528,32227.88551,27968.41438,0.877718691,0.878070974,0.924392439,0.40969163,0.550259067,0.629990263,768.8903487,805.1264822,1098,0.008189263,0.00810081,292.8735178,-0.023911822,-0.011936684,-0.044451465,-0.030513756,-0.018319949,0.045928517,-4259.471124,8559.585615,0.140567437,0.079731196,36.23613355,-8.84529E-05,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",2854.814429
6037213320,06037213320,37,0.1202469,17888.19504,3346.190858,2743,2151,0.04081323,0.032810791,0.033007903,0.027613412,0.020415603,0.067875407,0.357760583,0.272694131,0.327754533,0.651039287,0.662048852,0.578335658,0.565031447,0.561179088,0.439070352,0.09081761,0.089543938,0.179020101,861,0.317647046,0.380675627,0.233379823,23064,32227.88617,24290.04495,0.877718738,0.88241206,0.964546403,0.40969163,0.482915718,0.562162162,768.8903487,695.0237154,840,0.009045226,0.02919708,144.9762846,-0.008002439,0.000197112,-0.003852359,-0.122108736,-0.001273672,0.089476163,-7937.84122,-1226.044953,0.073224088,0.079246445,-73.86663325,0.020151854,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",7160.267749
6037213401,06037213401,37,0.07571463,74173.24763,5228.999961,5623,5616,0.047045324,0.026676152,0.009259259,0.047427806,0.028276721,0.022435897,0.379996175,0.185843856,0.177350427,0.637789257,0.752978837,0.788995726,0.578742709,0.609623964,0.495735608,0.106610499,0.09528362,0.132462687,396,0.279293427,0.46177152,0.190612172,32134,34099.96793,26505.60441,0.999999993,0.981591449,0.975211268,0.507822686,0.465214761,0.630271519,943.0783224,772.0956522,1025,0.019002375,0.015211268,252.9043478,-0.020369173,-0.017416892,0.030881255,-0.113888357,-0.011326879,0.037179066,-7594.363515,5628.395586,-0.042607925,0.165056758,-170.9826702,-0.003791108,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",5230.164897
6037213402,06037213402,37,0.1512926,30127.05182,5269.000025,5318,4558,0.058455115,0.025197443,0.026766125,0.037957867,0.021812712,0.054409829,0.250521921,0.166980068,0.202501097,0.710381473,0.779992478,0.731241773,0.473489933,0.580961727,0.38056405,0.091610738,0.119725221,0.163778457,601,0.247961164,0.327936747,0.31587057,34643,38870.64069,31138.78463,0.946138875,0.960220318,0.954297408,0.458161866,0.503505417,0.607576841,897.3319859,785.858498,1013,0.015911873,0.055934516,227.141502,-0.033257672,0.001568683,0.107471794,-0.200397677,0.028114483,0.044053237,-7731.856059,3504.215366,0.045343552,0.104071423,-111.4734878,0.040022643,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",3972.434871
